Title,School,Location,Descripion,Language,Type,Style,Read_More,Deadline,Start,Duration
"Master in Computer Science - Cybersecurity, Data Analytics and Artificial Intelligence",MIA Digital University,"Barcelona, Spain","Computer science and technology will be in our future and the employment of IT experts is projected to grow 12% from now until 2028. By considering the rapid rise of innovativ
                                            ...
                        
                            +
                        



                    Featured
                    



                Computer science and technology will be in our future and the employment of IT experts is projected to grow 12% from now until 2028. By considering the rapid rise of innovative tech as drivers of the global economy, the Master in Computer Science – Cybersecurity, Artificial Intelligence, and Data Science offers students a broad foundation in modern software and hardware systems and an in-depth knowledge of the new applications of IT. The master program covers the latest technologies from Artificial Intelligence to Data Science, Internet of Things, and machine learning and their applications to the cloud and mobile apps and systems. Students will develop a comprehensive knowledge of the fundamental of software engineering and data management and an in-depth understanding of artificial intelligence principles and technologies, big data analytics, and cybersecurity.
                
                    -",English,Master,Online,https://www.onlinestudies.com/Master-in-Computer-Science-Cybersecurity-Data-Analytics-and-Artificial-Intelligence/Spain/MIA-Digital-University/,None,None,12 months
MSc in Business Engineering,Peter the Great St. Petersburg Polytechnic University,"Saint Petersburg, Russia","The program is aimed at training professionals in business management with a focus on ICT using advanced theoretical and practical achievements in the field of enterprise arch
                                            ...
                        
                            +
                        



                    Featured
                    



                The program is aimed at training professionals in business management with a focus on ICT using advanced theoretical and practical achievements in the field of enterprise architecture, business process reengineering, project management, development, implementation, and maintenance of information systems.
                
                    -",English,Master,Campus,https://www.masterstudies.com/MSc-in-Business-Engineering/Russia/SPbPU/,01 Aug 2022,01 Sep 2022,2 years
MSc Legal Technology - Full-time,The University of Law Postgraduate Programmes,"Bristol, United Kingdom                                                        +3 More","Our MSc in Legal Technology is available for both law and non-law graduates, providing you with an insight into this rapidly developing area. You will learn the basics of this
                                            ...
                        
                            +
                        



                    Featured
                    



                Our MSc in Legal Technology is available for both law and non-law graduates, providing you with an insight into this rapidly developing area. You will learn the basics of this exciting and often disruptive technology in a legal context and the regulation which is being formed around it.
                
                    -",English,MSc,"Campus
Online",https://www.masterstudies.com/MSc-Legal-Technology-Full-time/United-Kingdom/The-University-of-Law-Postgraduate-Programmes/,None,None,12 months
Master of Data Science,Harbour.Space University,"Barcelona, Spain                                                        +1 More","The data science is a new frontier of human knowledge and a new domain of discovery. Data scientists have the analytical and programming skills needed to extract valuable know
                                            ...
                        
                            +
                        



                    Featured
                    



                The data science is a new frontier of human knowledge and a new domain of discovery. Data scientists have the analytical and programming skills needed to extract valuable knowledge out of data. The burgeoning technology sector is quickly becoming the epicenter for data science.
                
                    -",English,Master,Campus,https://www.masterstudies.com/Master-of-Data-Science/Spain/Harbour.Space-University/,None,None,2 years
Master Information Technology Management (MA),IU International University of Applied Sciences – Online,"Bad Honnef, Germany","IU’s online M.A. Information Technology Management is designed to train students to successfully handle the planning, selection, design and implementation in the dynamic field
                                            ...
                        
                            +
                        



                    Featured
                    



                IU’s online M.A. Information Technology Management is designed to train students to successfully handle the planning, selection, design and implementation in the dynamic field of information and communications technologies. The programme will equip students with knowledge of the fundamentals of IT, from software to hardware, governance and compliance as well as risk assessment and leadership modules, enabling them to become leaders in the IT industry. It can be studied anytime and anywhere.
                
                    -",English,MA,Online,https://www.onlinestudies.com/Master-Information-Technology-Management-(MA)/Germany/IUOnline/,None,None,12 - 48 months
M.Sc. in Data Engineering,Jacobs University,"Bremen, Germany","Data engineering is an emerging profession concerned with big data approaches to data acquisition, data management, and data analysis. The M.Sc. program at Jacobs University o
                                            ...
                        
                            +
                        



                    Featured
                    



                Data engineering is an emerging profession concerned with big data approaches to data acquisition, data management, and data analysis. The M.Sc. program at Jacobs University offers a fascinating and profound insight into the methods and technologies of this rapidly growing area.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/M.Sc.-in-Data-Engineering/Germany/Jacobs-University/,None,None,2 years
MSc Digital Transformation & Business Innovation,TBS Education in Barcelona,"Barcelona, Spain","The MSc Digital Transformation & Business Innovation is targeted at young professionals who are looking to launch their careers in the emerging sector of digital transform
                                            ...
                        
                            +
                        



                    Featured
                    



                The MSc Digital Transformation &amp; Business Innovation is targeted at young professionals who are looking to launch their careers in the emerging sector of digital transformation and innovation. This MSc program emphasizes the importance of using digital technologies to create new — or modify existing — business processes and new value propositions. This MSc bases its structure on the conjunction of innovation, change management and operations, IT and data-driven strategy, IT projects, business and customer analytics.
                
                    -",English,MSc,Campus,https://www.masterstudies.com//MSc-Digital-Transformation-and-Business-Innovation/Spain/TBS-Barcelona/,22 Jul 2022,Oct 2022,None
MSc Business Transformation,"Arden Study Centre, Berlin","Berlin, Germany","The newly devised master’s in business transformation delivered at our Berlin campus has been developed for professionals who want to lead and manage change that advances oper
                                            ...
                        
                            +
                        



                    Featured
                    



                The newly devised master’s in business transformation delivered at our Berlin campus has been developed for professionals who want to lead and manage change that advances operational success in the digital economy. The course will help you gain the specialised skills required to apply the latest technologies to enable and transform business operations, including artificial intelligence, machine learning, big data sets, the internet of things, and the artificial intelligence internet of things. You’ll gain in-depth knowledge of change management theory and practice in today’s digitally disrupted business world, as well as how integrating digital capabilities can support digital business transformations across the global industry.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-Business-Transformation/Germany/Arden-Study-Centre-Berlin/,None,Apr 2022,12 months
"Master of Science in Artificial Intelligence, Machine Learning and Innovation Technologies",MIA Digital University,"Barcelona, Spain","The MS in Artificial Intelligence, Machine learning and Innovation Technologies aims to satisfy the great demand for professionals in the growing areas of computing science, b
                                            ...
                        
                            +
                        



                    Featured
                    



                The MS in Artificial Intelligence, Machine learning and Innovation Technologies aims to satisfy the great demand for professionals in the growing areas of computing science, by offering a comprehensive training in the applications of Artificial intelligence, data science and cloud computing. The master program provides the knowledge and skills to develop and test software and information systems and to design intelligent systems programs, high-powered software applications and security methods. Through a range of specialistic modules, students will explore the techniques and applications of artificial intelligence, machine and deep learning and analyze high-level programming languages and modern software development.
                
                    -",English,MSc,Online,https://www.onlinestudies.com/Master-of-Science-in-Artificial-Intelligence-Machine-Learning-and-Innovation-Technologies/Spain/MIA-Digital-University/,None,None,12 months
MSc in Technology Leadership and Entrepreneurship,Peter the Great St. Petersburg Polytechnic University,"Saint Petersburg, Russia","Taking into consideration the emergence of new technologies and constantly changing our environment which leads to uncertainty, there is a huge need for people with entreprene
                                            ...
                        
                            +
                        



                    Featured
                    



                Taking into consideration the emergence of new technologies and constantly changing our environment which leads to uncertainty, there is a huge need for people with entrepreneurial skills who can answer these challenges.
                
                    -",English,MSc,Campus,https://www.masterstudies.com/MSc-in-Technology-Leadership-and-Entrepreneurship/Russia/SPbPU/,01 Aug 2022,01 Sep 2022,2 years
